    phi1         Phi        phi2        area       omega           a           b
 25.2221     126.987     122.078      187705     102.966     267.102     223.692
 35.5461     132.928     77.0873      277413     139.678     343.053     257.405
 23.6973     53.2583     58.8795      314795     68.8424     331.794     302.001
 129.387     17.7888     148.972 2.35285e+06     91.5401      1138.6      657.77
  19.512     93.5865      80.613 2.54756e+06     107.818     1131.38     716.748
 33.9902     96.7793     75.4636  5.6104e+06     121.561     1924.61     927.901
 8.98471     124.912     81.0777 8.37496e+06     106.589     2285.98     1166.16
 37.4421     33.6505     63.8614      157288     104.455     357.407     140.082
 166.935     40.1724     102.957      195187     72.7193     323.507     192.051
 21.6587     98.6069     92.9669     67146.2     93.7539     247.217     86.4556
 27.8642     18.2171     71.6243  1.7626e+06     74.7209     901.098     622.633
 132.614     69.8395     9.62339      138753     71.0559     270.342     163.372
 48.7871     32.8585      41.929 2.69721e+06     107.227     1033.49     830.731
 119.426     140.734     62.0808 1.24782e+06      83.722     663.055     599.037
 9.26946     107.634     68.6783      454149     105.238     486.136     297.365
 15.0999     98.3214     63.4888      503442     119.381     495.984     323.097
 35.3194     101.209     93.0047 2.08557e+06     114.242      1105.4      600.56
 21.4491     40.2705      78.197      179776     126.779     426.424     134.196
 69.8757     169.942     151.065      122744     134.633     338.831      115.31
 112.425     29.0193     158.127      100400     115.466      228.31     139.979
 16.3344     81.7245     91.7876 2.14225e+06     115.437     1291.83     527.855
 109.784     121.355     35.5895     62785.5     120.541     160.156     124.786
 8.63769     121.793     92.3337 1.50984e+06     132.155     749.461     641.257
 140.948     118.133     69.9345     85571.2     155.253     186.245     146.249
 176.753     50.7619     95.3018      614982     79.9798     481.018      406.96
  22.634       72.35     80.6367 1.04122e+06     110.226     758.995     436.672
 110.162     121.936     35.3845 1.78244e+06     14.8725      791.09       717.2
 152.337     159.959     45.1159      199931      101.85         372     171.075
  82.707     83.1467     53.7163      132455     96.1713     266.145     158.417
 35.4838     80.3696     60.1868      703584     140.674     638.424     350.798
 29.5954     65.2308     73.1288     69036.5     25.8713     160.093     137.264
 3.14545     73.0715     99.1243      119330     80.7335     294.815      128.84
 21.6847     75.6451     67.6078      142911     112.828     416.306      109.27
 33.3172     23.2146     76.0173      320310     122.462     443.155     230.073
 12.8201     82.0706     80.1142 1.24176e+06     92.1308     943.687     418.851
 36.9634     81.7117     82.4553      133513      115.35     265.133     160.291
 79.3944     21.2974     23.4476      885472     104.465      680.52     414.175
 135.635     75.7377     179.366      438531      120.28     514.542     271.287
  19.394     99.3735     78.8715 1.47976e+06     124.516     923.329     510.133
 5.97525     97.9626     102.009      331194     163.144     340.242     309.845
 78.4892     17.1017     208.072 1.41883e+06     83.0888     857.002     526.987
 56.8407     99.4965     80.9087      232442     85.9899     321.914      229.84
 21.8058      73.733     65.0762      230783     17.9884     380.907     192.857
 171.123     29.0702     83.6178      422741     89.0179     436.352     308.381
 33.4483     81.2897     77.7627      189599     137.649      259.69     232.397
 37.2114     96.7013     74.5861      666180     145.729     497.582     426.165
 124.801     131.404     17.6491  4.6558e+06     112.414     1842.21     804.462
 119.996     37.0421     4.10176 6.67038e+06     136.119     2227.61     953.152
 7.88809     76.8951     68.0891 1.86896e+06     122.658     1080.94     550.362
 115.988     72.2387     21.3032 4.66764e+06     106.753     1414.11     1050.67
 21.5324     136.669     82.6468      296849     126.617     326.808      289.13
 12.7142     99.3269     70.5158 6.39436e+06     111.968     2345.59     867.753
 89.8883     102.241     49.3728     83838.8     144.683     192.937     138.319
 22.6918     63.1753     69.1848 4.98577e+06     152.426        1655     958.927
 27.9339     62.1352     55.4068      188401     165.389     491.191      122.09
 170.638     75.5557     101.081      831010     92.5985      725.85     364.426
